seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.6363636363636364,0.6363636363636364,0.0,0,0.9618196336926629
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.6363636363636364,0.6363636363636364,0.0,0,0.9484529448635624
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.6363636363636364,0.6363636363636364,0.0,0,0.9222338769452076
42,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,5,0.9811771485586083
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9665167825196486
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9596182383375483
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9389910988310373
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.8436869336663118
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.8224557046628429
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.0,0.0,0,0.9455276409449508
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.8333333333333334,0.8333333333333334,0.0,0,0.970714450671687
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9566895235809859
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9422568806664824
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.8299818661241233
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.8260659095416072
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.0,0.0,0,0.9419496687805459
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9636336760166405
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9427450632122863
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9255933725933864
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.8320764558763947
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0,0.83926456296865
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.0,0.0,0,0.9426659233007149
99,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.8333333333333334,0.8333333333333334,0.0,0,0.968936670117678
99,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.8333333333333334,0.8333333333333334,0.0,0,0.958553762956586
99,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9322386328830373
99,fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,2,0.9806859313166619
99,fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,2,0.9806859313166619
99,fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,5,0.9811771485586083
99,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9664304247100022
99,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9538534565903093
99,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.8333333333333334,0.8333333333333334,0.0,0,0.9281840203888626
