epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
81,0.4741480052471161,0.9857142857142858,0.798,0.828,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
82,0.5028905272483826,0.9857142857142858,0.792,0.829,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
83,0.4601159691810608,0.9857142857142858,0.794,0.829,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
84,0.4744645357131958,0.9857142857142858,0.794,0.826,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
85,0.4396420121192932,0.9857142857142858,0.794,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
86,0.4548482596874237,0.9857142857142858,0.796,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
87,0.44430074095726013,0.9857142857142858,0.79,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
88,0.44402876496315,0.9857142857142858,0.79,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
89,0.42186370491981506,0.9928571428571429,0.79,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
90,0.4130663275718689,0.9928571428571429,0.79,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
91,0.38748636841773987,0.9928571428571429,0.79,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
92,0.41600629687309265,0.9857142857142858,0.792,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
93,0.41866424679756165,0.9857142857142858,0.792,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
94,0.38547882437705994,0.9857142857142858,0.792,0.826,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
95,0.37696373462677,0.9857142857142858,0.796,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
96,0.4058168828487396,0.9857142857142858,0.796,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
97,0.3908959627151489,0.9857142857142858,0.798,0.823,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
98,0.39919164776802063,0.9857142857142858,0.798,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
99,0.3771303594112396,0.9857142857142858,0.794,0.829,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
100,0.3879973590373993,0.9928571428571429,0.798,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
101,0.37451764941215515,1.0,0.794,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
102,0.41990724205970764,1.0,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
103,0.38649505376815796,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
104,0.3827589452266693,0.9928571428571429,0.79,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
105,0.3948078155517578,0.9928571428571429,0.792,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
106,0.3424076735973358,0.9857142857142858,0.796,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
107,0.3825452923774719,0.9857142857142858,0.794,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
108,0.3582683205604553,0.9857142857142858,0.79,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
109,0.3404521048069,0.9857142857142858,0.794,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
