seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.05,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9742807374490936,0.9485614748981877,0.3816533237695694,0.2309655820329984,1.9166666666666667,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.05,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9699830398263504,0.9399660796527013,0.3816533237695694,0.2309655820329984,1.9166666666666667,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.05,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5833333333333334,0.08333333333333333,1,0.9559046331678713,0.9118092663357431,0.3816533287366231,0.2309655857582887,1.9166666666666667,0.049999999999999996,2e-05,160.0,positive-radius:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.01,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9669804597726138,0.9339609195452279,0.28568151965737343,0.1309722668180863,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.01,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9633667278005235,0.9267334556010468,0.28568151717384654,0.13097226433455944,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.01,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1,0.9350747328264267,0.8701494656528532,0.2856815221409003,0.13097226930161318,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:4; prediction-incorrect:4; zero-radius:4
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.02,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9702257336556261,0.9404514673112524,0.28568151717384654,0.13097226557632288,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.02,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9598713311447225,0.9197426622894449,0.28568151965737343,0.13097226805984974,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.02,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1,0.9436969025182173,0.8873938050364353,0.28568151965737343,0.1309722668180863,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:4; prediction-incorrect:4; zero-radius:4
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.05,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9714747673756139,0.9429495347512278,0.34251102308432263,0.19378500059247017,1.4166666666666667,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
