epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
71,0.5644986629486084,0.9857142857142858,0.804,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
72,0.5797793865203857,0.9857142857142858,0.804,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
73,0.585700273513794,0.9857142857142858,0.802,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
74,0.5269643068313599,0.9857142857142858,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
75,0.5262795090675354,0.9857142857142858,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
76,0.5507473349571228,0.9857142857142858,0.798,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
77,0.5276365876197815,0.9857142857142858,0.798,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
78,0.5132405161857605,0.9857142857142858,0.794,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
79,0.540900468826294,0.9857142857142858,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
80,0.4892122447490692,0.9857142857142858,0.796,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
81,0.501789927482605,0.9857142857142858,0.792,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
82,0.5397072434425354,0.9857142857142858,0.792,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
83,0.4915999174118042,0.9857142857142858,0.798,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
84,0.5170651078224182,0.9857142857142858,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
85,0.47501465678215027,0.9857142857142858,0.798,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
86,0.4835816025733948,0.9857142857142858,0.794,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
87,0.4673992693424225,0.9857142857142858,0.802,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
88,0.4657202661037445,0.9857142857142858,0.8,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
89,0.5023770332336426,0.9857142857142858,0.798,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
90,0.4791814386844635,0.9857142857142858,0.8,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
91,0.45979544520378113,0.9857142857142858,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
92,0.455966979265213,0.9857142857142858,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
93,0.43540263175964355,0.9857142857142858,0.798,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
94,0.4459769129753113,0.9857142857142858,0.798,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
95,0.4575725495815277,0.9857142857142858,0.8,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
96,0.4314047396183014,0.9928571428571429,0.794,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
97,0.42321139574050903,0.9857142857142858,0.792,0.808,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
98,0.4703558683395386,0.9857142857142858,0.792,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
99,0.43463751673698425,0.9857142857142858,0.792,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
100,0.43165746331214905,0.9857142857142858,0.796,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
101,0.4360975921154022,1.0,0.794,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
102,0.4314033091068268,1.0,0.796,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
103,0.3980526030063629,1.0,0.796,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
104,0.3909941017627716,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
105,0.4130250811576843,1.0,0.79,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
106,0.39236655831336975,1.0,0.794,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
107,0.3787159323692322,0.9928571428571429,0.792,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
108,0.3920683264732361,0.9928571428571429,0.788,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
109,0.35533469915390015,0.9928571428571429,0.786,0.804,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
110,0.39244475960731506,0.9928571428571429,0.788,0.801,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
111,0.3851771652698517,0.9928571428571429,0.788,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
112,0.3724440038204193,1.0,0.794,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
113,0.3847549557685852,1.0,0.788,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
114,0.4033113420009613,1.0,0.792,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
115,0.3943164646625519,1.0,0.792,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
116,0.37710556387901306,1.0,0.794,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
117,0.38557669520378113,1.0,0.794,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
