model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,num_seeds,seeds,evaluated_nodes_mean,evaluated_nodes_std,evaluated_nodes_sample_std,evaluated_nodes_sem,evaluated_nodes_ci95_half_width,evaluated_nodes_ci95_low,evaluated_nodes_ci95_high,evaluated_nodes_min,evaluated_nodes_max,purified_plain_correct_fraction_mean,purified_plain_correct_fraction_std,purified_plain_correct_fraction_sample_std,purified_plain_correct_fraction_sem,purified_plain_correct_fraction_ci95_half_width,purified_plain_correct_fraction_ci95_low,purified_plain_correct_fraction_ci95_high,purified_plain_correct_fraction_min,purified_plain_correct_fraction_max,correct_fraction_mean,correct_fraction_std,correct_fraction_sample_std,correct_fraction_sem,correct_fraction_ci95_half_width,correct_fraction_ci95_low,correct_fraction_ci95_high,correct_fraction_min,correct_fraction_max,positive_certified_fraction_mean,positive_certified_fraction_std,positive_certified_fraction_sample_std,positive_certified_fraction_sem,positive_certified_fraction_ci95_half_width,positive_certified_fraction_ci95_low,positive_certified_fraction_ci95_high,positive_certified_fraction_min,positive_certified_fraction_max,max_reported_radius_mean,max_reported_radius_std,max_reported_radius_sample_std,max_reported_radius_sem,max_reported_radius_ci95_half_width,max_reported_radius_ci95_low,max_reported_radius_ci95_high,max_reported_radius_min,max_reported_radius_max,mean_pA_lower_mean,mean_pA_lower_std,mean_pA_lower_sample_std,mean_pA_lower_sem,mean_pA_lower_ci95_half_width,mean_pA_lower_ci95_low,mean_pA_lower_ci95_high,mean_pA_lower_min,mean_pA_lower_max
clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.962688474662829,0.06622218157569451,0.07403864981079353,0.033111090787847255,0.06489773794418062,0.8977907367186484,1.0275862126070097,0.8302461383787896,0.9962067613450979
clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9777308479698805,0.036951826750434826,0.04131339825338371,0.01847591337521741,0.03621279021542612,0.9415180577544544,1.0139436381853066,0.9038271944690108,0.9962067613450979
clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.9609721689701793,0.06954621800423387,0.07775503551774335,0.034773109002116935,0.0681552936441492,0.8928168753260302,1.0291274626143285,0.8218821902841448,0.9962067613450979
clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.1893939393939394,0.06534502622075099,0.07305796031055269,0.03267251311037549,0.06403812569633595,0.12535581369760346,0.2534320650902753,0.09090909090909091,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9838208073014852,0.0011046326789027872,0.0012350168800971649,0.0005523163394513935,0.0010825400253247311,0.9827382672761605,0.98490334732681,0.9825447328906182,0.9855233167988864
clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.2409090909090909,0.10168461657916679,0.11368685746850953,0.05084230828958339,0.09965092424758344,0.14125816666150748,0.34056001515667433,0.09090909090909091,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9738658732417825,0.0027610103954893266,0.0030869034654488563,0.001380505197744663,0.0027057901875795396,0.971160083054203,0.9765716634293621,0.9695838904844888,0.9767622927698582
clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.27575757575757576,0.08375924218839548,0.09364567963856027,0.04187962109419774,0.08208405734462756,0.1936735184129482,0.3578416331022033,0.16666666666666666,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9539645650868989,0.005033124126433286,0.0056272038429495365,0.002516562063216643,0.00493246164390462,0.9490321034429943,0.9588970267308035,0.9478756842020498,0.9611703695779609
clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.9618497269507849,0.06791757245785013,0.07593415444126018,0.033958786228925064,0.06655922100869313,0.8952905059420917,1.028408947959478,0.8260164771073762,0.9962067613450979
clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.6893939393939393,0.13585764709975692,0.1518934670891168,0.06792882354987845,0.13314049415776175,0.5562534452361776,0.8225344335517011,0.5,0.9166666666666666,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,4.8,0.39999999999999997,0.44721359549995787,0.19999999999999996,0.3919999999999999,4.4079999999999995,5.192,4.0,5.0,0.9766887183010112,0.03903608608817342,0.04364367103434481,0.01951804304408671,0.03825536436640995,0.9384333539346013,1.0149440826674212,0.8986165461246644,0.9962067613450979
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.8,0.39999999999999997,0.4472135954999579,0.19999999999999998,0.39199999999999996,11.408000000000001,12.192,11.0,12.0,0.5757575757575757,0.11882111470725848,0.132846044823865,0.05941055735362924,0.11644469241311331,0.4593128833444624,0.692202268170689,0.4166666666666667,0.75,0.13484848484848483,0.03904272341431856,0.043651091790569495,0.01952136170715928,0.03826186894603219,0.09658661590245264,0.173110353794517,0.08333333333333333,0.16666666666666666,0.10151515151515152,0.06202875603169308,0.06935025752330792,0.03101437801584654,0.06078818091105922,0.0407269706040923,0.16230333242621073,0.0,0.16666666666666666,3.2,1.6000000000000003,1.7888543819998322,0.8000000000000002,1.5680000000000003,1.632,4.768000000000001,0.0,4.0,0.9178229893064772,0.1562310337613378,0.17467160584270797,0.07811551688066888,0.153106413086111,0.7647165762203663,1.0709294023925882,0.6053612921123156,0.9962067613450979
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,5,7; 21; 42; 84; 99,11.8,0.39999999999999997,0.4472135954999579,0.19999999999999998,0.39199999999999996,11.408000000000001,12.192,11.0,12.0,0.5757575757575757,0.11882111470725848,0.132846044823865,0.05941055735362924,0.11644469241311331,0.4593128833444624,0.692202268170689,0.4166666666666667,0.75,0.5757575757575757,0.11882111470725848,0.132846044823865,0.05941055735362924,0.11644469241311331,0.4593128833444624,0.692202268170689,0.4166666666666667,0.75,0.2545454545454545,0.0917386394134582,0.10256691694591699,0.0458693197067291,0.08990386662518902,0.1646415879202655,0.34444932117064353,0.08333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9878917129355349,0.0024883105412108236,0.002782015759638347,0.0012441552706054118,0.002438544330386607,0.9854531686051483,0.9903302572659215,0.9834640954323652,0.9906076546420152
