seed,summary_type,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts
84,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,11,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.2727272727272727,1,0.9507826379879003,0.4556277056277056,5,6,sparse-asym-0.01:1; sparse-asym-0.02:2; sparse-asym-0.05:1; symmetric-0.2:1
84,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,11,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.2727272727272727,1,0.9516785604665716,0.4556277056277056,5,6,sparse-asym-0.01:3; sparse-asym-0.05:1; symmetric-0.3:1
84,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,11,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.36363636363636365,1,0.9493285291800294,0.30844155844155846,6,5,sparse-asym-0.01:3; sparse-asym-0.05:2; symmetric-0.2:1
84,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.4166666666666667,0.5833333333333334,0.25,0.9166666666666666,5,0.9889006891576307,0.43977272727272726,7,5,sparse-asym-0.01:5; symmetric-0.3:2
84,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.4166666666666667,0.5833333333333334,0.25,0.9166666666666666,5,0.986683227579037,0.43977272727272726,7,5,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:2
84,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.5,0.5833333333333334,0.3333333333333333,1.0,5,0.9888658313016713,0.26353715728715726,7,5,sparse-asym-0.01:5; symmetric-0.3:2
99,oracle-best-correct,clean-training,clean-training,0.01,12,0.75,0.8333333333333334,0.5,1.1666666666666667,5,0.9909052747454433,0.33784271284271283,10,2,sparse-asym-0.01:7; sparse-asym-0.05:1; symmetric-0.3:2
99,oracle-best-correct,clean-training,clean-training,0.02,12,0.75,0.8333333333333334,0.5,1.1666666666666667,5,0.9904186599148996,0.33784271284271283,10,2,sparse-asym-0.01:5; sparse-asym-0.02:2; sparse-asym-0.05:1; symmetric-0.3:2
99,oracle-best-correct,clean-training,clean-training,0.05,12,0.6666666666666666,0.75,0.4166666666666667,1.0833333333333333,5,0.9867743909834804,0.24963924963924963,9,3,sparse-asym-0.01:5; sparse-asym-0.02:1; sparse-asym-0.05:1; symmetric-0.3:2
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.6666666666666666,0.75,0.5,1.5,5,0.9441937558855203,0.3756944444444445,9,3,balanced-sparse-0.2:1; sparse-asym-0.01:4; sparse-asym-0.05:1; symmetric-0.3:3
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.6666666666666666,0.75,0.5,1.5,5,0.943675413875979,0.3756944444444445,9,3,balanced-sparse-0.2:1; sparse-asym-0.01:3; sparse-asym-0.02:2; symmetric-0.3:3
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.75,0.8333333333333334,0.4166666666666667,1.4166666666666667,5,0.9451383345492576,0.26805555555555555,10,2,sparse-asym-0.01:5; sparse-asym-0.02:1; symmetric-0.2:1; symmetric-0.3:3
99,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.75,0.8333333333333334,0.5,1.1666666666666667,5,0.9916356557985057,0.33784271284271283,10,2,sparse-asym-0.01:6; sparse-asym-0.02:2; symmetric-0.3:2
99,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.75,0.8333333333333334,0.5,1.1666666666666667,5,0.9916136977239457,0.33784271284271283,10,2,sparse-asym-0.01:6; sparse-asym-0.02:1; sparse-asym-0.05:1; symmetric-0.3:2
99,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.6666666666666666,0.75,0.4166666666666667,1.0833333333333333,5,0.9864772880392567,0.24963924963924963,9,3,sparse-asym-0.01:5; sparse-asym-0.02:2; symmetric-0.3:2
